layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,identifier
4,1373.4995,1337.20921875,1411.2042218017575,9.261634168012447,7.796116411187856,11.177311546862365,333298.0,0.14,-1.2,0.0763669159504916,0.0023519198649528,0.0853555376478079,0.3,0.13,-1.24,0.0763599999999999,0.13,-1.24,0.0763599999999999,325,15.069,0.102694,0.0,11.7751,0.0883252,0.0,9.47518,0.0914396,0.0,0.0,red
5,373.9722,363.160255279541,384.9922021484375,10.399796216198755,7.744356541979743,15.153512460290404,1149538.0,0.2,-1.0,0.0402470520078653,0.0012665428950382,0.0707558031305325,0.34,0.19,-1.05,0.0402451368515606,0.19,-1.05,0.0402451368515606,1122,8.65016,0.0884473,0.0,6.8804,0.0718593,0.0,5.50559,0.0751618,0.0,0.0,red
6,90.55869,87.97025382995605,93.37066242218016,11.086197582103532,8.39326054033911,15.483006672025429,4251250.0,0.25,-0.9,0.0209932235352335,0.000658638529926,0.0562100528248149,0.41,0.24,-0.93,0.0185339426100632,0.24,-0.93,0.0185339426100632,5251,4.65904,0.0753064,0.0,3.78221,0.0559477,0.0,3.05194,0.0600068,0.0,0.0,red
7,20.864292,20.13236427307129,21.656595315933227,18.333369636555272,11.867615870723622,29.35160876990464,17005000.0,0.28,-1.0,0.016884959566793,0.000329329071013,0.0626398491282426,0.61,0.28,-1.01,0.0133396249793253,0.28,-1.01,0.0133396249793253,10507,1.95542,0.0806141,0.0,1.62019,0.0587966,0.0,1.28993,0.0624226,0.0,0.0,red
8,4.537877,4.343648850917816,4.747077422142029,28.59776575966852,17.03324800286267,47.50207647657469,68020000.0,0.43,-1.0,0.0132541658266543,0.0001646669863926,0.0639537056931968,1.64,0.438,-1.0,0.0132540832420013,0.438,-1.0,0.0132540832420013,10507,0.842765,0.0772873,0.0,0.728515,0.0510784,0.0,0.573775,0.0523516,0.0,0.0,red
9,0.850108,0.7934992268681527,0.9333761680126188,97.79494190759311,21.79965085769581,222.87802340797435,272080000.0,1.3,-1.0,0.0244945490630108,8.233410583957582e-05,0.1236243170446962,6.1,1.29,-1.03,0.024493035250744,1.29,-1.03,0.024493035250744,3112,0.428233,0.0579467,0.0,0.376442,0.030833,0.0,0.298091,0.0302376,0.0,0.0,red
2,17099.889,16406.3961328125,17788.96572265625,4.485044214042976,3.396246500265243,5.924756773572504,27208.0,0.21,0.0,0.0248393910126126,0.0082273201196278,0.0248393910126126,0.21,0.208,-0.08,0.021679611636913,0.208,-0.08,0.021679611636913,3825,50.0,0.149302,0.0,50.0,0.103913,2.9831899999999996e-256,50.0,0.0793741,1.5101699999999993e-149,1.5355e-11,blue
3,4439.3,4308.276179199219,4577.157507324218,11.245151650894654,8.622312134598676,14.488305433065031,108832.0,0.09,-1.3,0.1319199999999998,0.0041152012481055,0.1319316330676234,0.29,0.087,-1.37,0.1319199999999998,0.087,-1.37,0.1319199999999998,106,20.6145,0.134921,0.0,14.4696,0.131934,0.0,11.5824,0.131936,0.0,0.0,blue
4,1375.08,1337.640381469727,1414.9285107421874,9.946785951172942,8.102579086001336,12.841204367294528,333298.0,0.13,-1.2,0.07505,0.0023519198649528,0.089232475505135,0.3,0.126,-1.23,0.0750499999999999,0.126,-1.23,0.0750499999999999,325,15.021,0.104086,0.0,11.6139,0.0915657,0.0,9.37528,0.0944981,0.0,0.0,blue
5,383.26047,370.5800860595703,397.2224153137207,15.705747160958246,9.172204354809532,27.391761102713065,1149538.0,0.2,-1.0,0.0398370520078653,0.0012665428950382,0.072694551695257,0.35,0.192,-1.04,0.0398356326556207,0.192,-1.04,0.0398356326556207,1122,8.59879,0.0891741,0.0,6.67958,0.0753477,0.0,5.37586,0.0783212,0.0,0.0,blue
6,87.51157,84.75722759246827,90.59829029083252,14.39382275740638,9.844557725832171,21.75382522233128,4251250.0,0.25,-0.9,0.0292834009036039,0.000658638529926,0.0582039314254667,0.42,0.24,-0.95,0.0227436566507606,0.24,-0.95,0.0227436566507606,3501,4.49168,0.075957,0.0,3.59307,0.0582248,0.0,2.90483,0.0618912,0.0,0.0,blue
7,18.372211,17.63635585784912,19.22302680015564,26.509922055880462,12.767423036308928,54.195093613946575,17005000.0,0.29,-1.0,0.0194895227594729,0.000329329071013,0.064110747650031,0.65,0.28,-1.03,0.0140940550603685,0.28,-1.03,0.0140940550603685,9340,1.80886,0.0813372,0.0,1.48977,0.0601951,0.0,1.18575,0.0637777,0.0,0.0,blue
8,3.8332431,3.631796332597733,4.082098736762999,50.95968234369494,18.29051507244186,106.52938175564796,68020000.0,0.46,-1.0,0.014589924062755,0.0001646669863926,0.0674104098829872,2.7,0.455,-1.01,0.011964620066127,0.455,-1.01,0.011964620066127,12454,0.760144,0.0781498,0.0,0.656985,0.0519398,0.0,0.516646,0.0533301,0.0,0.0,blue
9,0.72233033,0.6539262959361076,0.8352566742897031,243.18805992140057,24.07817882494741,559.6523861210251,272080000.0,10.0,-1.1,0.0283354056360475,8.233410583957582e-05,0.1394545648301105,6.1,9.9999,-1.08,0.0234527429525334,9.9999,-1.08,0.0234527429525334,3501,0.382418,0.058575,0.0,0.33684,0.0313908,0.0,0.268259,0.0302909,0.0,0.0,blue
2,20586.12,19743.03005859375,21437.69455078125,4.57900766576012,3.5326210314214874,5.910701376159756,27208.0,0.21,0.0,0.0210254449833707,0.0082273201196278,0.0210254449833707,0.21,0.204,-0.1,0.0192116868192539,0.204,-0.1,0.0192116868192539,5101,50.0,0.160329,0.0,50.0,0.114342,,50.0,0.0895143,3.755669999999999e-190,3.7351e-09,green
3,5586.0425,5417.664475097657,5765.354582519532,12.162527180106238,9.413559818484408,15.79808708387007,108832.0,0.09,-1.3,0.1330799999999998,0.0041152012481055,0.1330899070845012,0.28,0.087,-1.37,0.1330799999999998,0.087,-1.37,0.1330799999999998,106,22.5425,0.133839,0.0,15.5178,0.13309,0.0,12.5015,0.13309,0.0,0.0,green
4,1803.6252,1755.6172760009763,1853.7972369384763,9.509400286478575,8.01974650228599,11.794444895347864,333298.0,0.13,-1.2,0.0777999999999999,0.0023519198649528,0.0898066714794093,0.29,0.12,-1.24,0.0777999999999998,0.12,-1.24,0.0777999999999998,306,16.9782,0.103783,0.0,13.1066,0.0913809,0.0,10.5819,0.0942316,0.0,0.0,green
5,518.5317,503.76475402832034,533.565198059082,10.222363268045935,8.00693657191927,14.123384320384416,1149538.0,0.17,-1.1,0.0431226827164483,0.0012665428950382,0.0752519486721682,0.33,0.161,-1.14,0.0431176100512486,0.161,-1.14,0.0431176100512486,945,9.97575,0.0897297,0.0,7.72357,0.0763334,0.0,6.21251,0.0792446,0.0,0.0,green
6,123.44841,119.93307651519775,127.2008389663696,10.630472342501744,8.700919505140028,13.620479659452869,4251250.0,0.22,-1.0,0.0277339147403335,0.000658638529926,0.0575251880126077,0.4,0.224,-0.97,0.0206472997794156,0.224,-0.97,0.0206472997794156,4151,5.25645,0.0770958,0.0,4.22653,0.058957,0.0,3.41062,0.0626746,0.0,0.0,green
7,26.474886,25.54339354515076,27.48659370422364,18.56466728499405,12.58622264297258,29.57734152297072,17005000.0,0.28,-1.0,0.0159148218133051,0.000329329071013,0.0635535232238603,0.59,0.271,-1.02,0.0135019338046999,0.271,-1.02,0.0135019338046999,10507,2.10405,0.0825919,0.0,1.73933,0.0609158,0.0,1.37952,0.0642998,0.0,0.0,green
8,5.566022,5.285992050170899,5.909213078022003,45.434103208294495,18.767397813886937,96.19518924575785,68020000.0,0.42,-1.0,0.0123914114630656,0.0001646669863926,0.065062291297388,1.44,0.42,-1.0,0.0123914114630656,0.42,-1.0,0.0123914114630656,12454,0.881625,0.0791399,0.0,0.763695,0.0529153,0.0,0.599471,0.0539343,0.0,0.0,green
9,1.0218027,0.9509475576877594,1.125916313529015,105.14797042607084,24.34099010308848,239.3275567951852,272080000.0,1.3,-1.0,0.0253344884971017,8.233410583957582e-05,0.1185675686231989,6.0,1.29,-1.03,0.0253329578647425,1.29,-1.03,0.0253329578647425,2952,0.445629,0.0602031,0.0,0.392222,0.0330409,0.0,0.31265,0.0314293,0.0,0.0,green
